"Strongly Disagree","Disagree","Neutral","Agree","Strongly Agree","Q","session","total","Strongly Disagree %","Disagree %","Neutral %","Agree %","Strongly Agree %"
0,2,12,94,73,"Q1","BL",181,0,1.10497237569061,6.62983425414365,51.9337016574586,40.3314917127072
1,2,8,81,73,"Q1","AL",165,0.606060606060606,1.21212121212121,4.84848484848485,49.0909090909091,44.2424242424242
0,1,5,87,104,"Q1","AP",197,0,0.50761421319797,2.53807106598985,44.1624365482233,52.7918781725888
0,4,28,83,67,"Q2","BL",182,0,2.1978021978022,15.3846153846154,45.6043956043956,36.8131868131868
1,3,15,79,67,"Q2","AL",165,0.606060606060606,1.81818181818182,9.09090909090909,47.8787878787879,40.6060606060606
0,4,10,97,86,"Q2","AP",197,0,2.03045685279188,5.0761421319797,49.238578680203,43.6548223350254
0,8,41,80,52,"Q3","BL",181,0,4.41988950276243,22.6519337016575,44.1988950276243,28.7292817679558
4,9,41,58,52,"Q3","AL",164,2.4390243902439,5.48780487804878,25,35.3658536585366,31.7073170731707
3,5,35,90,62,"Q3","AP",195,1.53846153846154,2.56410256410256,17.948717948718,46.1538461538462,31.7948717948718
11,41,84,29,17,"Q4","BL",182,6.04395604395604,22.5274725274725,46.1538461538462,15.9340659340659,9.34065934065934
11,30,72,37,15,"Q4","AL",165,6.66666666666667,18.1818181818182,43.6363636363636,22.4242424242424,9.09090909090909
9,26,88,51,23,"Q4","AP",197,4.56852791878173,13.1979695431472,44.6700507614213,25.8883248730964,11.6751269035533
56,65,42,12,7,"Q5","BL",182,30.7692307692308,35.7142857142857,23.0769230769231,6.59340659340659,3.84615384615385
36,59,45,16,7,"Q5","AL",163,22.0858895705521,36.1963190184049,27.6073619631902,9.8159509202454,4.29447852760736
33,62,60,24,17,"Q5","AP",196,16.8367346938775,31.6326530612245,30.6122448979592,12.2448979591837,8.6734693877551
78,56,31,14,2,"Q6","BL",181,43.0939226519337,30.939226519337,17.1270718232044,7.73480662983425,1.10497237569061
87,44,22,9,2,"Q6","AL",164,53.0487804878049,26.8292682926829,13.4146341463415,5.48780487804878,1.21951219512195
114,52,21,7,3,"Q6","AP",197,57.8680203045685,26.3959390862944,10.6598984771574,3.55329949238579,1.52284263959391
71,51,37,15,8,"Q7","BL",182,39.010989010989,28.021978021978,20.3296703296703,8.24175824175824,4.3956043956044
77,45,21,15,7,"Q7","AL",165,46.6666666666667,27.2727272727273,12.7272727272727,9.09090909090909,4.24242424242424
103,50,29,12,3,"Q7","AP",197,52.2842639593909,25.3807106598985,14.7208121827411,6.09137055837564,1.52284263959391
80,52,40,9,1,"Q8","BL",182,43.956043956044,28.5714285714286,21.978021978022,4.94505494505495,0.54945054945055
93,42,19,6,5,"Q8","AL",165,56.3636363636364,25.4545454545455,11.5151515151515,3.63636363636364,3.03030303030303
125,51,13,6,1,"Q8","AP",196,63.7755102040816,26.0204081632653,6.63265306122449,3.06122448979592,0.510204081632653
0,1,11,54,115,"Q9","BL",181,0,0.552486187845304,6.07734806629834,29.8342541436464,63.53591160221
1,0,7,40,115,"Q9","AL",163,0.613496932515337,0,4.29447852760736,24.5398773006135,70.5521472392638
0,0,5,51,139,"Q9","AP",195,0,0,2.56410256410256,26.1538461538462,71.2820512820513
32,74,46,27,3,"Q10","BL",182,17.5824175824176,40.6593406593407,25.2747252747253,14.8351648351648,1.64835164835165
8,36,53,61,6,"Q10","AL",164,4.8780487804878,21.9512195121951,32.3170731707317,37.1951219512195,3.65853658536585
3,17,56,100,21,"Q10","AP",197,1.52284263959391,8.62944162436548,28.4263959390863,50.761421319797,10.6598984771574
31,66,57,25,3,"Q11","BL",182,17.032967032967,36.2637362637363,31.3186813186813,13.7362637362637,1.64835164835165
7,17,56,75,10,"Q11","AL",165,4.24242424242424,10.3030303030303,33.9393939393939,45.4545454545455,6.06060606060606
6,16,75,87,13,"Q11","AP",197,3.04568527918782,8.12182741116751,38.0710659898477,44.1624365482233,6.5989847715736
0,1,8,67,120,"Q12","AP",196,0,0.510204081632653,4.08163265306122,34.1836734693878,61.2244897959184
14,7,65,46,62,"Q13","AP",194,7.21649484536082,3.60824742268041,33.5051546391753,23.7113402061856,31.9587628865979
