year,student_ID,MCQ_A,MCQ_B,MCQ_C,MCQ_D,Exam,Attended_prac
2024,NA,88,0,90,90,39,YES
2024,NA,89,87,77,95,53,YES
2024,NA,59,0,69,0,45,NO
2024,NA,84,62,0,0,61,NO
2024,NA,88,67,69,80,45,NO
2024,NA,59,38,81,58,45,NO
2024,NA,49,49,78,80,41,NO
2024,NA,88,84,86,90,55,YES
2024,NA,94,95,93,90,86,YES
2024,NA,58,35,69,37,35,YES
2024,NA,75,74,69,65,27,YES
2024,NA,93,85,81,85,0,NO
2024,NA,68,83,75,85,61,YES
2024,NA,88,73,72,88,57,YES
2024,NA,76,74,73,78,39,YES
2024,NA,78,61,78,90,49,YES
2024,NA,75,50,77,68,43,YES
2024,NA,92,82,88,90,80,NO
2024,NA,83,64,83,85,47,YES
2024,NA,88,86,85,0,31,YES
2024,NA,63,66,90,75,35,YES
2024,NA,67,19,62,70,35,YES
2024,NA,84,0,0,0,67,YES
2024,NA,78,61,63,65,45,YES
2024,NA,48,53,71,53,43,YES
2024,NA,89,85,85,80,57,YES
2024,NA,84,0,72,75,45,YES
2024,NA,77,80,65,75,39,YES
2024,NA,93,83,85,90,41,NO
2024,NA,53,68,73,65,45,NO
2024,NA,52,56,72,85,43,YES
2024,NA,79,82,83,95,55,YES
2024,NA,93,79,90,85,41,NO
2024,NA,61,67,67,85,24,YES
2024,NA,82,73,80,85,49,YES
2024,NA,82,93,90,95,0,NO
2024,NA,77,65,84,93,35,YES
2024,NA,0,57,83,90,55,NO
2024,NA,87,90,83,95,80,YES
2024,NA,67,76,83,78,43,YES
2024,NA,81,0,78,78,51,YES
2024,NA,50,70,79,75,29,YES
2024,NA,79,90,90,95,45,YES
2024,NA,94,88,88,70,61,YES
2024,NA,82,68,98,80,59,YES
2024,NA,65,71,55,70,0,YES
2024,NA,61,42,79,43,35,YES
2024,NA,85,73,88,100,53,YES
2024,NA,69,78,85,70,45,YES
2024,NA,76,0,73,0,55,YES
2024,NA,69,73,78,85,49,YES
2024,NA,85,77,70,73,65,YES
2024,NA,79,86,95,90,53,YES
2024,NA,93,84,83,80,39,YES
2024,NA,53,40,88,0,27,NO
2024,NA,66,85,83,70,80,YES
2024,NA,71,58,81,65,71,NO
2024,NA,82,78,86,70,33,NO
2024,NA,63,58,0,70,24,YES
2024,NA,84,78,88,85,55,YES
2024,NA,66,0,80,63,65,YES
2024,NA,68,86,78,85,39,YES
2024,NA,76,46,51,73,43,NO
2024,NA,52,0,38,33,47,YES
2024,NA,71,0,0,82,43,YES
2024,NA,94,90,73,85,67,YES
2024,NA,90,73,73,90,55,NO
2024,NA,56,50,84,73,49,YES
2024,NA,81,90,93,85,43,YES
2024,NA,84,60,83,65,53,YES
2024,NA,82,58,95,85,55,YES
2024,NA,56,69,70,78,49,YES
2024,NA,83,50,73,85,37,NO
2024,NA,78,67,86,88,76,YES
2024,NA,73,88,73,93,57,YES
2024,NA,83,84,91,85,65,YES
2024,NA,58,22,34,48,31,YES
2024,NA,71,83,80,75,57,YES
2024,NA,84,0,0,85,24,NO
2024,NA,43,57,80,0,43,YES
2024,NA,74,66,80,73,57,NO
2024,NA,88,74,91,70,51,YES
2024,NA,83,70,85,65,39,NO
2024,NA,93,87,78,85,80,YES
2024,NA,49,45,69,0,45,YES
2024,NA,68,82,100,93,59,YES
2024,NA,85,0,83,85,41,YES
2024,NA,77,61,85,65,61,YES
2024,NA,66,57,67,70,35,YES
2024,NA,88,66,88,85,49,YES
2024,NA,0,0,64,70,51,NO
2024,NA,36,59,53,58,47,YES
2024,NA,79,86,0,85,65,YES
2024,NA,71,47,78,95,39,NO
2024,NA,73,73,57,75,59,YES
2024,NA,83,72,93,90,61,YES
2024,NA,79,0,81,85,47,YES
2024,NA,73,85,0,43,55,YES
2024,NA,75,53,76,90,51,YES
2024,NA,67,58,72,75,71,YES
2024,NA,82,83,83,85,61,YES
2024,NA,72,38,83,75,47,YES
2024,NA,0,73,0,90,55,NO
